Departments;Actors;Ages
Financial planner;Curtis Berger;67
Quality manager;Lisa Tucker;21
Editorial assistant;Michael Foley;16
Financial planner;Bobby Oconnell;79
Chief Operating Officer;James Herring;62
Artist;Joshua Martin;22
Chartered accountant;Charles Berger;51
Data scientist;Carol Bradley;79
Designer, fashion/clothing;Stephen Duffy;50
Scientific laboratory technician;Tony Hamilton;75
Town planner;Erica Nicholson;20
Theatre stage manager;Darrell George;14
Race relations officer;Jasmin Watson;70
Clinical cytogeneticist;Joann Smith;68
Commissioning editor;Laura Vega;70
Chemist, analytical;Tricia White;27
Rural practice surveyor;Jennifer Allen;72
Biochemist, clinical;Amanda Estrada;54
Aid worker;Shelly Howard;15
Financial manager;Wendy Robinson;78
Secretary/administrator;Pamela Drake;46
Social worker;Samantha Hill;30
Scientist, research (medical);Donna Stanley;20
Musician;Mitchell Kelly;21
Technical sales engineer;Thomas Howell;62
Theatre stage manager;Brandon Hanson;28
Aid worker;Allison Brown;46
Environmental consultant;Samuel Edwards;70
Administrator, sports;Heather Wilson;69
Oncologist;Carolyn Owens;15
Site engineer;Michelle Frost;36
Local government officer;Danielle May;79
Sports administrator;Adriana Montgomery;66
Metallurgist;Kathleen Edwards;68
Accountant, chartered certified;Justin Jenkins;21
Radiographer, diagnostic;Danny Hart;28
Dealer;Ana Blankenship;14
Careers information officer;Luis Jackson;46
